"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z200","2019-07-11 00:00:00","153.000","220.000","0.300","25.600","0.990","991.800","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","23.300",""
"C0K520","2019-07-11 00:00:00","10.000","156.000","2.600","26.000","0.900","1006.300","-99.000","15.500","-99.000","-99.000","-99.000","29.500","","25.900",""
"CM0170","2019-07-11 00:00:00","106.000","105.000","2.400","24.700","0.970","997.500","-99.000","20.500","-99.000","-99.000","-99.000","31.700","","23.600",""
"C0B020","2019-07-11 00:00:00","86.000","98.000","1.900","28.100","0.990","995.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","27.100",""
"C0I390","2019-07-11 00:00:00","1184.000","99.000","1.100","20.000","0.890","884.800","-99.000","12.500","-99.000","-99.000","-99.000","28.100","","18.200",""
"C0T9D0","2019-07-11 00:00:00","7.000","0.000","0.000","25.700","0.990","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","24.300",""
"C0E520","2019-07-11 00:00:00","320.000","133.000","0.400","24.200","1.000","972.700","-99.000","4.500","-99.000","-99.000","-99.000","32.800","","24.200",""
"C0C460","2019-07-11 00:00:00","482.000","0.000","0.000","24.000","0.920","955.300","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","22.800",""
"C0O930","2019-07-11 00:00:00","69.000","0.000","0.000","25.000","1.000","1002.200","-99.000","44.000","-99.000","-99.000","-99.000","30.900","","24.600",""
"C0T870","2019-07-11 00:00:00","135.000","0.000","0.000","24.100","0.960","992.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","22.400",""
"C0A920","2019-07-11 00:00:00","196.000","275.000","1.100","27.900","0.820","985.100","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.700",""
"C0A940","2019-07-11 00:00:00","49.000","0.000","0.000","27.000","0.890","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.700",""
"C0S740","2019-07-11 00:00:00","289.000","212.000","2.300","26.700","0.830","976.900","-99.000","0.000","-99.000","-99.000","-99.000","36.900","","22.700",""
"C0U980","2019-07-11 00:00:00","573.000","323.000","1.800","23.100","0.970","945.600","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","21.100",""
"C0V250","2019-07-11 00:00:00","298.000","201.000","0.900","24.100","0.990","977.600","-99.000","48.000","-99.000","-99.000","-99.000","29.600","","22.800",""
"C0AH70","2019-07-11 00:00:00","34.000","56.000","0.300","29.900","0.680","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","36.800","","27.700",""
"C0M760","2019-07-11 00:00:00","40.000","138.000","1.500","26.400","0.950","1004.100","-99.000","44.500","-99.000","-99.000","-99.000","31.800","","25.100",""
"C0O950","2019-07-11 00:00:00","4.000","146.000","1.200","26.100","0.950","1007.800","-99.000","54.000","-99.000","-99.000","-99.000","31.500","","24.800",""
"C0F9A0","2019-07-11 00:00:00","425.000","140.000","0.900","24.700","0.930","960.800","-99.000","8.500","-99.000","-99.000","-99.000","30.800","","23.800",""
"C0A9F0","2019-07-11 00:00:00","35.000","0.000","0.100","29.700","0.800","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","36.600","","27.700",""
"C0I460","2019-07-11 00:00:00","110.000","217.000","2.100","26.100","0.910","996.500","-99.000","14.500","-99.000","-99.000","-99.000","33.200","","25.800",""
"C0W160","2019-07-11 00:00:00","49.000","216.000","3.400","25.900","0.970","998.100","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","25.800",""
"C0E420","2019-07-11 00:00:00","19.000","180.000","1.300","28.700","0.730","1002.900","-99.000","1.000","-99.000","-99.000","-99.000","34.600","","26.700",""
"C0R190","2019-07-11 00:00:00","32.000","347.000","1.300","24.900","0.990","1005.500","-99.000","151.000","-99.000","-99.000","-99.000","31.500","","24.800",""
"C0I010","2019-07-11 00:00:00","1562.000","93.000","1.600","18.500","0.860","847.700","-99.000","7.000","-99.000","-99.000","-99.000","24.000","","17.200",""
"C0F930","2019-07-11 00:00:00","100.000","144.000","0.900","27.500","1.000","996.500","-99.000","17.000","-99.000","-99.000","-99.000","33.500","","26.500",""
"C0X180","2019-07-11 00:00:00","62.000","126.000","1.700","24.800","0.990","1002.000","-99.000","87.500","-99.000","-99.000","-99.000","29.900","","24.800",""
"C0ACA0","2019-07-11 00:00:00","25.000","0.000","0.200","30.000","0.680","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","27.400",""
"C0R220","2019-07-11 00:00:00","23.000","31.000","3.300","25.100","1.000","1007.300","-99.000","69.000","-99.000","-99.000","-99.000","31.200","","24.700",""
"C0A870","2019-07-11 00:00:00","685.000","0.000","0.200","24.000","0.890","931.000","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","23.400",""
"C0V670","2019-07-11 00:00:00","20.000","92.000","2.600","25.300","0.990","1007.300","-99.000","105.000","-99.000","-99.000","-99.000","31.800","","25.000",""
"C0G770","2019-07-11 00:00:00","15.000","164.000","1.300","26.700","0.930","1004.500","-99.000","15.500","-99.000","-99.000","-99.000","33.100","","26.000",""
"C0C540","2019-07-11 00:00:00","46.000","191.000","2.600","27.500","0.770","1001.900","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","27.000",""
"C0F9O0","2019-07-11 00:00:00","175.000","0.000","0.100","26.900","1.000","988.600","-99.000","5.000","-99.000","-99.000","-99.000","32.700","","26.000",""
"C0Z230","2019-07-11 00:00:00","31.000","280.000","3.100","28.000","0.740","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","27.100",""
"C0U900","2019-07-11 00:00:00","63.000","168.000","1.400","27.400","0.860","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","24.900",""
"C0X200","2019-07-11 00:00:00","61.000","128.000","0.800","24.500","0.990","1002.900","-99.000","88.500","-99.000","-99.000","-99.000","30.200","","24.400",""
"C0G640","2019-07-11 00:00:00","17.000","136.000","1.800","26.400","0.880","1008.100","-99.000","38.500","-99.000","-99.000","-99.000","32.400","","25.700",""
"C0Z080","2019-07-11 00:00:00","298.000","0.000","0.000","25.400","0.830","975.600","-99.000","0.000","-99.000","-99.000","-99.000","38.000","","22.600",""
"C0U770","2019-07-11 00:00:00","5.000","333.000","3.100","27.100","0.790","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","24.800",""
"C0Z210","2019-07-11 00:00:00","126.000","0.000","0.100","26.400","0.990","995.000","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","23.100",""
"C0V690","2019-07-11 00:00:00","30.000","51.000","4.800","25.400","0.990","1006.700","-99.000","34.000","-99.000","-99.000","-99.000","31.100","","25.200",""
"C0M690","2019-07-11 00:00:00","33.000","190.000","1.600","25.700","0.930","1004.300","-99.000","46.500","-99.000","-99.000","-99.000","31.000","","24.800",""
"C0F970","2019-07-11 00:00:00","145.000","196.000","0.400","27.100","0.820","991.300","-99.000","8.000","-99.000","-99.000","-99.000","31.400","","25.400",""
"C0C490","2019-07-11 00:00:00","157.000","158.000","0.900","28.500","0.790","989.400","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","26.900",""
"C0X160","2019-07-11 00:00:00","26.000","114.000","2.300","24.700","1.000","1006.600","-99.000","83.000","-99.000","-99.000","-99.000","31.600","","24.700",""
"C0S760","2019-07-11 00:00:00","1621.000","173.000","0.400","19.000","1.000","838.700","-99.000","0.000","-99.000","-99.000","-99.000","28.000","","18.900",""
"C0O830","2019-07-11 00:00:00","127.000","0.000","0.000","24.800","0.990","995.800","-99.000","55.000","-99.000","-99.000","-99.000","32.000","","24.600",""
"C0A9A0","2019-07-11 00:00:00","24.000","118.000","1.200","29.700","0.750","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","35.800","","27.700",""
"C0AD50","2019-07-11 00:00:00","84.000","262.000","0.500","28.700","0.920","998.400","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","26.200",""
